City,Cloudiness,Country,Humidity,Lat,Lng,Max Temperature,Wind Speed,Date
Kresttsy,0,RU,76,58.25,32.52,-4.7,2.06,"Apr, 04 2019"
Berlevag,80,NO,100,70.86,29.09,-1.4,3.46,"Apr, 04 2019"
Hithadhoo,36,MV,100,-0.6,73.08,27.15,1.71,"Apr, 04 2019"
Bubaque,48,GW,100,11.28,-15.83,25.85,7.66,"Apr, 04 2019"
Vao,0,EE,77,59.1,26.19,0.55,3.81,"Apr, 04 2019"
Kudat,75,MY,79,6.89,116.84,29.0,2.6,"Apr, 04 2019"
Sao Joao da Barra,36,BR,100,-21.64,-41.05,24.95,3.06,"Apr, 04 2019"
Youghal,75,IE,86,51.95,-7.85,6.11,7.7,"Apr, 04 2019"
Ancud,75,CL,100,-41.87,-73.83,10.0,3.1,"Apr, 04 2019"
Mehamn,76,NO,87,71.03,27.85,-2.95,2.31,"Apr, 04 2019"
Nizhniy Kuranakh,48,RU,80,58.84,125.49,-3.55,1.51,"Apr, 04 2019"
Bluff,0,AU,50,-23.58,149.07,25.85,6.56,"Apr, 04 2019"
Yuncheng,8,CN,64,35.03,111.0,10.4,1.16,"Apr, 04 2019"
Cape Town,20,ZA,87,-33.93,18.42,15.0,2.6,"Apr, 04 2019"
Birnin Kebbi,0,NG,56,12.45,4.2,24.2,1.21,"Apr, 04 2019"
Bredasdorp,64,ZA,87,-34.53,20.04,15.56,2.6,"Apr, 04 2019"
Tazovskiy,76,RU,90,67.47,78.7,-7.05,3.71,"Apr, 04 2019"
Phangnga,20,TH,74,8.45,98.53,28.0,1.41,"Apr, 04 2019"
Axim,12,GH,98,4.87,-2.24,28.55,5.26,"Apr, 04 2019"
Twentynine Palms,1,US,18,34.14,-116.05,25.56,2.6,"Apr, 04 2019"
Ambilobe,32,MG,95,-13.19,49.05,21.45,1.21,"Apr, 04 2019"
Nelson Bay,75,AU,64,-32.72,152.14,23.0,5.1,"Apr, 04 2019"
Trairi,88,BR,100,-3.28,-39.27,26.35,3.81,"Apr, 04 2019"
Carutapera,76,BR,100,-1.2,-46.02,24.05,1.71,"Apr, 04 2019"
Izumo,20,JP,50,35.37,132.75,13.0,4.1,"Apr, 04 2019"
Torbay,90,CA,92,47.66,-52.73,0.56,12.3,"Apr, 04 2019"
Dudinka,76,RU,89,69.41,86.18,-7.7,3.96,"Apr, 04 2019"
Katsuura,20,JP,50,33.93,134.5,12.78,4.1,"Apr, 04 2019"
Birao,0,CF,29,10.3,22.78,20.95,2.76,"Apr, 04 2019"
Butembo,12,CD,90,0.12,29.29,14.7,0.41,"Apr, 04 2019"
Ilulissat,68,GL,92,69.22,-51.1,-8.0,9.8,"Apr, 04 2019"
Kaitangata,76,NZ,80,-46.28,169.85,12.78,0.45,"Apr, 04 2019"
Clyde River,75,CA,71,70.47,-68.59,-13.0,7.7,"Apr, 04 2019"
Princeton,90,US,53,41.37,-89.46,12.22,2.6,"Apr, 04 2019"
Halifax,90,CA,93,44.65,-63.58,3.0,12.3,"Apr, 04 2019"
Fort Saint James,80,CA,45,54.43,-124.25,9.1,1.86,"Apr, 04 2019"
Antofagasta,0,CL,72,-23.65,-70.4,19.0,1.0,"Apr, 04 2019"
Komsomolskiy,88,RU,87,67.55,63.78,-4.4,1.51,"Apr, 04 2019"
Poros,36,TR,71,40.9,26.22,4.95,4.31,"Apr, 04 2019"
Rexburg,90,US,61,43.82,-111.79,10.0,5.1,"Apr, 04 2019"
Olga,75,US,55,34.11,-118.17,19.0,4.6,"Apr, 04 2019"
Alofi,75,NU,74,-19.06,-169.92,28.0,5.7,"Apr, 04 2019"
Correntina,24,BR,64,-13.34,-44.63,24.9,1.76,"Apr, 04 2019"
College,1,US,30,64.86,-147.8,0.0,8.7,"Apr, 04 2019"
Burns Lake,80,CA,54,54.23,-125.76,7.55,2.41,"Apr, 04 2019"
Dire,92,ET,92,9.18,38.92,10.75,1.46,"Apr, 04 2019"
Alice Town,48,BS,100,25.72,-79.3,24.4,8.16,"Apr, 04 2019"
Tura,0,IN,93,25.52,90.21,17.3,2.41,"Apr, 04 2019"
Dhidhdhoo,20,MV,100,6.88,73.1,26.8,1.06,"Apr, 04 2019"
Bodden Town,20,KY,83,19.28,-81.25,27.0,6.7,"Apr, 04 2019"
Balkhash,92,KZ,78,46.84,74.98,5.8,3.81,"Apr, 04 2019"
Severnoye,92,RU,93,54.09,52.54,0.7,6.71,"Apr, 04 2019"
Havre-Saint-Pierre,90,CA,92,50.23,-63.6,-2.0,10.3,"Apr, 04 2019"
Maumere,0,ID,100,-8.63,122.22,27.6,1.66,"Apr, 04 2019"
Nome,90,US,72,30.04,-94.42,18.33,6.7,"Apr, 04 2019"
Fare,20,PF,98,-16.7,-151.02,29.55,3.36,"Apr, 04 2019"
Hengyang,92,CN,100,26.89,112.6,12.85,3.56,"Apr, 04 2019"
Port Blair,0,IN,100,11.67,92.75,28.65,0.41,"Apr, 04 2019"
Mahebourg,20,MU,94,-20.41,57.7,24.44,0.5,"Apr, 04 2019"
Sao Filipe,56,CV,97,14.9,-24.5,21.05,7.31,"Apr, 04 2019"
Nuuk,75,GL,68,64.17,-51.74,-3.0,10.8,"Apr, 04 2019"
Hami,0,CN,57,42.84,93.51,6.6,0.81,"Apr, 04 2019"
Ranong,20,TH,94,9.96,98.62,25.0,2.56,"Apr, 04 2019"
Yumbe,48,UG,86,3.47,31.25,19.4,0.66,"Apr, 04 2019"
Qaanaaq,88,GL,82,77.48,-69.36,-12.1,2.96,"Apr, 04 2019"
Champerico,40,MX,61,16.38,-93.6,27.0,9.8,"Apr, 04 2019"
Pangai,75,TO,69,-19.8,-174.35,28.0,6.2,"Apr, 04 2019"
Bauchi,0,NG,44,10.31,9.85,19.55,2.11,"Apr, 04 2019"
Ucluelet,75,CA,93,48.94,-125.55,11.11,3.1,"Apr, 04 2019"
Puerto Plata,20,DO,83,19.79,-70.69,26.11,8.2,"Apr, 04 2019"
Georgetown,40,GY,78,6.8,-58.16,28.0,5.1,"Apr, 04 2019"
Port Elizabeth,1,US,28,39.31,-74.98,17.0,3.6,"Apr, 04 2019"
Aksarka,88,RU,65,66.56,67.8,-9.4,1.61,"Apr, 04 2019"
Itarema,92,BR,98,-2.92,-39.92,23.9,1.01,"Apr, 04 2019"
Isangel,75,VU,70,-19.55,169.27,31.0,4.1,"Apr, 04 2019"
Causapscal,92,CA,89,48.35,-67.23,-0.57,1.21,"Apr, 04 2019"
Kodiak,1,US,27,39.95,-94.76,14.0,5.7,"Apr, 04 2019"
Gazanjyk,8,TM,90,39.24,55.52,6.85,1.86,"Apr, 04 2019"
Chicama,90,PE,88,-7.84,-79.15,20.0,4.1,"Apr, 04 2019"
Pershotravneve,48,UA,73,50.29,32.43,-1.4,1.31,"Apr, 04 2019"
Poanas,5,MX,10,25.77,-103.61,31.0,3.1,"Apr, 04 2019"
Pevek,0,RU,79,69.7,170.27,-3.5,1.16,"Apr, 04 2019"
Etchoropo,0,MX,48,26.77,-109.67,26.67,0.89,"Apr, 04 2019"
Faanui,0,PF,100,-16.48,-151.75,29.2,3.06,"Apr, 04 2019"
Portland,75,US,44,45.52,-122.67,16.11,3.1,"Apr, 04 2019"
Oktyabrskiy,0,RU,64,55.61,37.97,1.11,3.0,"Apr, 04 2019"
Ponta do Sol,68,BR,90,-20.63,-46.0,19.8,2.16,"Apr, 04 2019"
Praxedis Guerrero,1,MX,10,31.37,-106.02,24.0,11.3,"Apr, 04 2019"
Lebu,92,ET,92,8.96,38.73,10.75,1.46,"Apr, 04 2019"
Spokane,75,US,51,47.66,-117.42,15.0,5.7,"Apr, 04 2019"
Saint-Joseph,92,FR,100,43.56,6.97,10.0,0.5,"Apr, 04 2019"
Tasiilaq,44,GL,100,65.61,-37.64,-1.0,1.5,"Apr, 04 2019"
Pritzwalk,64,DE,78,53.15,12.18,10.56,0.89,"Apr, 04 2019"
Luau,12,CD,91,-10.7,22.23,18.95,1.01,"Apr, 04 2019"
Karratha,0,AU,50,-20.74,116.85,26.35,5.66,"Apr, 04 2019"
Kavieng,100,PG,100,-2.57,150.8,25.65,2.56,"Apr, 04 2019"
Te Anau,100,NZ,97,-45.41,167.72,10.7,1.76,"Apr, 04 2019"
Erzin,40,TR,93,36.95,36.2,13.0,1.5,"Apr, 04 2019"
Hervey Bay,40,AU,54,-25.3,152.85,28.33,8.2,"Apr, 04 2019"
Le Port,64,FR,70,42.87,1.37,3.89,1.34,"Apr, 04 2019"
Atar,20,MR,83,20.52,-13.05,16.05,0.71,"Apr, 04 2019"
Dongsheng,92,CN,93,29.72,112.52,11.85,1.31,"Apr, 04 2019"
Leshukonskoye,0,RU,85,64.9,45.76,-2.9,2.76,"Apr, 04 2019"
Zaraza,24,VE,69,9.35,-65.33,25.95,7.16,"Apr, 04 2019"
Bay Roberts,90,CA,92,47.58,-53.28,0.56,12.3,"Apr, 04 2019"
Lashio,8,MM,93,22.93,97.75,14.35,0.86,"Apr, 04 2019"
Codrington,40,AU,64,-28.95,153.24,25.56,4.1,"Apr, 04 2019"
Aldan,48,RU,80,58.61,125.39,-3.55,1.51,"Apr, 04 2019"
Seia,0,PT,75,40.42,-7.7,5.0,1.11,"Apr, 04 2019"
Mount Isa,0,AU,37,-20.73,139.49,29.0,6.7,"Apr, 04 2019"
Iguape,32,BR,100,-24.7,-47.56,24.05,4.16,"Apr, 04 2019"
Terrace,90,CA,30,54.52,-128.61,14.0,11.3,"Apr, 04 2019"
Broken Hill,64,AU,22,-31.97,141.45,27.0,6.2,"Apr, 04 2019"
Cap Malheureux,20,MU,94,-19.98,57.61,24.44,0.5,"Apr, 04 2019"
Manono,24,CD,97,-7.3,27.4,21.45,1.31,"Apr, 04 2019"
Luena,0,AO,84,-11.78,19.91,17.25,1.16,"Apr, 04 2019"
Sal Rei,75,CV,64,16.18,-22.92,20.0,4.1,"Apr, 04 2019"
Rocha,0,UY,86,-34.48,-54.34,16.1,2.96,"Apr, 04 2019"
Haines Junction,88,CA,64,60.75,-137.51,-3.85,1.51,"Apr, 04 2019"
Mitsamiouli,0,KM,100,-11.38,43.28,27.55,4.01,"Apr, 04 2019"
Sioux Lookout,40,CA,41,50.1,-91.92,-4.0,5.7,"Apr, 04 2019"
Tigil,12,RU,88,57.8,158.67,2.85,6.56,"Apr, 04 2019"
Longyearbyen,75,NO,84,78.22,15.63,-13.0,5.1,"Apr, 04 2019"
Colesberg,32,ZA,90,-30.72,25.1,14.55,4.76,"Apr, 04 2019"
Dourbali,0,TD,31,11.81,15.86,23.9,2.76,"Apr, 04 2019"
Vila do Maio,75,CV,64,15.13,-23.22,21.0,8.2,"Apr, 04 2019"
Waingapu,0,ID,93,-9.65,120.26,25.05,1.86,"Apr, 04 2019"
Tautira,75,PF,66,-17.73,-149.15,31.0,5.1,"Apr, 04 2019"
Kloulklubed,90,PW,94,7.04,134.26,25.0,3.6,"Apr, 04 2019"
Anloga,20,GH,84,5.79,0.9,30.0,4.6,"Apr, 04 2019"
Coihaique,75,CL,58,-45.58,-72.07,12.0,3.1,"Apr, 04 2019"
Moose Factory,90,CA,85,51.26,-80.61,-8.0,5.7,"Apr, 04 2019"
Singapore,75,MY,83,1.29,103.85,29.0,1.0,"Apr, 04 2019"
Matara,92,PE,89,-13.74,-72.9,8.75,0.86,"Apr, 04 2019"
Mineiros,68,BR,67,-17.57,-52.55,25.3,2.76,"Apr, 04 2019"
Mukhen,0,RU,48,48.19,136.14,2.8,1.31,"Apr, 04 2019"
Coquimbo,0,CL,82,-29.95,-71.34,16.0,2.1,"Apr, 04 2019"
Sao Jose da Coroa Grande,8,BR,95,-8.9,-35.15,24.65,2.06,"Apr, 04 2019"
Belmonte,0,PT,75,40.36,-7.35,1.67,2.86,"Apr, 04 2019"
Boyuibe,0,BO,91,-20.43,-63.28,22.05,1.21,"Apr, 04 2019"
Tecoanapa,5,MX,74,16.99,-99.26,28.0,3.6,"Apr, 04 2019"
Hasaki,20,JP,32,35.73,140.83,13.89,2.1,"Apr, 04 2019"
Kununurra,12,AU,36,-15.77,128.74,33.0,7.2,"Apr, 04 2019"
Klaksvik,88,FO,80,62.23,-6.59,2.0,4.1,"Apr, 04 2019"
Mar del Plata,68,AR,47,-46.43,-67.52,16.65,6.01,"Apr, 04 2019"
Ville-Marie,20,CA,49,47.33,-79.44,-3.0,8.2,"Apr, 04 2019"
Airai,80,TL,73,-8.93,125.41,23.35,0.51,"Apr, 04 2019"
Sovetskiy,0,RU,82,56.76,48.47,-5.3,4.81,"Apr, 04 2019"
Itoman,75,JP,52,26.12,127.67,21.67,3.1,"Apr, 04 2019"
Nemuro,75,JP,47,43.32,145.57,3.0,6.2,"Apr, 04 2019"
Babai,0,UA,50,49.9,36.2,1.0,2.0,"Apr, 04 2019"
Sitka,76,US,68,37.17,-99.65,15.56,2.24,"Apr, 04 2019"
Bontang,0,ID,100,0.12,117.47,26.45,2.51,"Apr, 04 2019"
Kiruna,76,SE,92,67.86,20.23,-2.0,2.1,"Apr, 04 2019"
Lavrentiya,48,RU,100,65.58,-170.99,-3.9,7.41,"Apr, 04 2019"
Daru,80,SL,95,7.99,-10.85,23.15,1.76,"Apr, 04 2019"
Luanda,75,AO,94,-8.83,13.24,27.0,2.6,"Apr, 04 2019"
Neuquen,92,AR,29,-38.95,-68.06,25.9,12.01,"Apr, 04 2019"
Gubbi,0,IN,79,13.31,76.94,16.0,1.31,"Apr, 04 2019"
Palmerston,20,CA,47,43.83,-80.85,2.0,5.7,"Apr, 04 2019"
Carlyle,40,CA,42,49.63,-102.27,8.0,7.7,"Apr, 04 2019"
Mana,40,RS,49,43.52,20.24,9.0,1.5,"Apr, 04 2019"
Jalcocotan,5,MX,64,21.48,-105.1,22.0,3.1,"Apr, 04 2019"
Lloydminster,75,CA,65,53.28,-110.01,5.0,10.3,"Apr, 04 2019"
Roseburg,90,US,62,43.22,-123.34,15.0,3.1,"Apr, 04 2019"
Mahajanga,20,MG,94,-15.72,46.32,26.0,2.66,"Apr, 04 2019"
Marawi,68,PH,78,8.0,124.29,27.22,2.24,"Apr, 04 2019"
Marathon,20,CA,63,48.72,-86.38,-2.65,6.36,"Apr, 04 2019"
North Bend,75,US,81,43.41,-124.22,14.44,2.6,"Apr, 04 2019"
Chernyshevsk,88,RU,69,52.51,117.01,-1.4,3.66,"Apr, 04 2019"
Peterhead,0,AU,18,-34.83,138.5,29.44,7.7,"Apr, 04 2019"
Bandarbeyla,0,SO,100,9.49,50.81,26.1,0.41,"Apr, 04 2019"
Imbituba,0,BR,88,-28.24,-48.67,25.0,3.1,"Apr, 04 2019"
Otacilio Costa,56,BR,92,-27.48,-50.12,18.15,0.86,"Apr, 04 2019"
Riberalta,20,BO,91,-11.0,-66.08,24.95,0.61,"Apr, 04 2019"
Saint-Philippe,20,CA,44,45.36,-73.48,4.0,13.9,"Apr, 04 2019"
Coahuayana,0,MX,23,18.62,-100.35,29.3,1.41,"Apr, 04 2019"
Saquena,36,PE,86,-4.67,-73.52,27.85,1.41,"Apr, 04 2019"
Murree,20,PK,56,33.91,73.39,20.0,0.89,"Apr, 04 2019"
Tulun,48,RU,66,54.56,100.58,-5.15,1.06,"Apr, 04 2019"
Saint-Francois,64,FR,100,46.42,3.91,3.0,1.31,"Apr, 04 2019"
Gravelbourg,68,CA,42,49.88,-106.56,8.85,7.91,"Apr, 04 2019"
Inirida,24,CO,87,3.87,-67.92,26.65,1.56,"Apr, 04 2019"
Lokossa,0,BJ,80,6.65,1.72,26.85,3.56,"Apr, 04 2019"
Hambantota,20,LK,100,6.12,81.12,23.0,1.0,"Apr, 04 2019"
Hualmay,32,PE,88,-11.1,-77.61,20.6,2.51,"Apr, 04 2019"
Luderitz,8,,92,-26.65,15.16,13.45,5.21,"Apr, 04 2019"
Ouadda,0,CF,27,8.07,22.4,25.2,4.01,"Apr, 04 2019"
Riyadh,0,SA,32,24.63,46.72,20.0,2.6,"Apr, 04 2019"
Lao Cai,80,VN,96,22.48,103.95,15.3,0.71,"Apr, 04 2019"
San Quintin,0,PH,87,17.54,120.52,24.2,1.76,"Apr, 04 2019"
Buenos Aires,0,AR,77,-34.61,-58.44,20.0,3.1,"Apr, 04 2019"
Tevriz,76,RU,79,57.51,72.4,-1.9,1.96,"Apr, 04 2019"
Ostrovnoy,44,RU,86,68.05,39.51,-2.8,6.61,"Apr, 04 2019"
Saldanha,0,PT,81,41.42,-6.55,1.6,2.41,"Apr, 04 2019"
Samarai,56,PG,100,-10.62,150.67,26.45,2.81,"Apr, 04 2019"
Moussoro,0,TD,32,13.64,16.49,22.85,2.01,"Apr, 04 2019"
Lakatoro,88,VU,94,-16.11,167.42,27.8,3.41,"Apr, 04 2019"
Sinnamary,92,GF,95,5.38,-52.96,26.7,5.81,"Apr, 04 2019"
Ugoofaaru,88,MV,100,5.67,73.0,28.3,1.86,"Apr, 04 2019"
Port Hardy,90,CA,71,50.7,-127.42,11.0,2.1,"Apr, 04 2019"
Yerofey Pavlovich,68,RU,40,53.97,121.97,-1.2,2.36,"Apr, 04 2019"
Saint Anthony,90,US,61,43.97,-111.68,10.0,5.1,"Apr, 04 2019"
Orange Cove,1,US,49,36.62,-119.31,22.0,1.5,"Apr, 04 2019"
Kuito,20,AO,52,-12.38,16.94,16.25,3.26,"Apr, 04 2019"
Porto Velho,75,BR,88,-8.75,-63.87,25.0,1.0,"Apr, 04 2019"
Red Wing,1,US,35,44.56,-92.53,8.33,1.51,"Apr, 04 2019"
Rome,0,IT,62,41.89,12.48,13.89,5.7,"Apr, 04 2019"
Vardo,1,US,25,39.62,-77.74,14.0,5.1,"Apr, 04 2019"
Poum,44,MK,97,41.28,20.71,3.9,0.46,"Apr, 04 2019"
Port Hawkesbury,90,CA,93,45.62,-61.36,6.67,9.3,"Apr, 04 2019"
Hohhot,0,CN,27,40.81,111.65,5.0,2.0,"Apr, 04 2019"
Ayni,12,TJ,88,39.39,68.54,3.4,1.06,"Apr, 04 2019"
Goldsboro,1,US,71,35.38,-77.99,15.0,1.5,"Apr, 04 2019"
Grand Gaube,20,MU,94,-20.01,57.66,24.44,0.5,"Apr, 04 2019"
Pangnirtung,12,CA,64,66.15,-65.72,-20.15,1.71,"Apr, 04 2019"
Zhengjiatun,44,CN,46,43.51,123.51,5.8,1.66,"Apr, 04 2019"
Havoysund,75,NO,68,71.0,24.66,-2.0,7.7,"Apr, 04 2019"
Port Macquarie,64,AU,60,-31.43,152.91,26.67,2.1,"Apr, 04 2019"
Lukulu,44,ZM,48,-14.38,23.24,22.1,3.46,"Apr, 04 2019"
Lagoa,0,PT,61,37.14,-8.45,10.0,5.1,"Apr, 04 2019"
Gao,24,ML,27,16.28,-0.04,27.15,2.51,"Apr, 04 2019"
Kuandian,0,CN,46,40.73,124.78,9.2,4.26,"Apr, 04 2019"
Port Hedland,40,AU,83,-20.31,118.58,28.0,3.1,"Apr, 04 2019"
Svobodnyy,68,RU,50,53.85,40.53,0.0,5.36,"Apr, 04 2019"
Aliaga,75,PH,65,15.5,120.85,28.0,2.1,"Apr, 04 2019"
Barabinsk,92,RU,75,55.35,78.35,0.2,6.31,"Apr, 04 2019"
Northam,75,GB,93,51.04,-4.21,4.0,3.1,"Apr, 04 2019"
Laguna,20,MX,28,27.52,-110.01,27.0,2.6,"Apr, 04 2019"
Nkhata Bay,100,MW,100,-11.61,34.3,21.0,0.51,"Apr, 04 2019"
Kahului,40,US,51,20.89,-156.47,28.0,9.3,"Apr, 04 2019"
Fort Nelson,90,CA,78,58.81,-122.69,-9.0,3.6,"Apr, 04 2019"
Ati,0,TD,30,13.21,18.34,23.35,2.51,"Apr, 04 2019"
